====> NAME: 康斯托克控股, CODE: CHCI, BUY PE: 100.000000, NOW PE: 5.260000, 总市值: 76541077.000000, PARENT_HOLDER_NETPROFIT: 14560000.000000, ROE_AVG: 32.505442, count: 1
====> NAME: IBEX Ltd, CODE: IBEX, BUY PE: 22.000000, NOW PE: 9.000000, 总市值: 332700323.000000, PARENT_HOLDER_NETPROFIT: 33655000.000000, ROE_AVG: 21.316620, count: 27
====> NAME: 汤森路透, CODE: TRI, BUY PE: 100.000000, NOW PE: 34.650000, 总市值: 76576085261.000000, PARENT_HOLDER_NETPROFIT: 2210000000.000000, ROE_AVG: 19.159081, count: 28
====> NAME: 凌云半导体, CODE: CRUS, BUY PE: 24.000000, NOW PE: 17.380000, 总市值: 5303332265.000000, PARENT_HOLDER_NETPROFIT: 274572000.000000, ROE_AVG: 15.801359, count: 30
====> NAME: 艾利科技, CODE: ALGN, BUY PE: 42.000000, NOW PE: 29.450000, 总市值: 12409299429.000000, PARENT_HOLDER_NETPROFIT: 421362000.000000, ROE_AVG: 11.262639, count: 32
====> NAME: 联合治疗, CODE: UTHR, BUY PE: 100.000000, NOW PE: 11.760000, 总市值: 14057062279.000000, PARENT_HOLDER_NETPROFIT: 1195100000.000000, ROE_AVG: 19.231141, count: 34
====> NAME: 欧特克, CODE: ADSK, BUY PE: 100.000000, NOW PE: 51.190000, 总市值: 56924250000.000000, PARENT_HOLDER_NETPROFIT: 1112000000.000000, ROE_AVG: 49.687221, count: 35
====> NAME: Nexstar Media Group Inc, CODE: NXST, BUY PE: 48.000000, NOW PE: 7.480000, 总市值: 5399824370.000000, PARENT_HOLDER_NETPROFIT: 722000000.000000, ROE_AVG: 31.694469, count: 36
====> NAME: GE HealthCare Technologies Inc, CODE: GEHC, BUY PE: 100.000000, NOW PE: 18.700000, 总市值: 37265239282.000000, PARENT_HOLDER_NETPROFIT: 1993000000.000000, ROE_AVG: 25.585724, count: 38
====> NAME: Academy Sports and Outdoors Inc, CODE: ASO, BUY PE: 38.000000, NOW PE: 7.560000, 总市值: 3164633256.000000, PARENT_HOLDER_NETPROFIT: 418447000.000000, ROE_AVG: 21.140707, count: 39
====> NAME: 西佳科技, CODE: SIGA, BUY PE: 100.000000, NOW PE: 6.770000, 总市值: 400761160.000000, PARENT_HOLDER_NETPROFIT: 59214216.000000, ROE_AVG: 28.698536, count: 40
====> NAME: Victory Capital Holdings Inc-A, CODE: VCTR, BUY PE: 20.000000, NOW PE: 13.190000, 总市值: 3811443222.000000, PARENT_HOLDER_NETPROFIT: 288864000.000000, ROE_AVG: 26.566629, count: 41
====> NAME: 英伟达, CODE: NVDA, BUY PE: 53.000000, NOW PE: 39.410000, 总市值: 2871880000000.000000, PARENT_HOLDER_NETPROFIT: 72880000000.000000, ROE_AVG: 119.177466, count: 42
====> NAME: Gravity Co Ltd ADR, CODE: GRVY, BUY PE: 12.000000, NOW PE: 7.130000, 总市值: 405815760.000000, PARENT_HOLDER_NETPROFIT: 132019000000.000000, ROE_AVG: 33.312306, count: 44
====> NAME: 环球物流控股, CODE: ULH, BUY PE: 32.000000, NOW PE: 5.360000, 总市值: 696619619.000000, PARENT_HOLDER_NETPROFIT: 129907000.000000, ROE_AVG: 22.032681, count: 45
====> NAME: 卡骆驰, CODE: CROX, BUY PE: 37.000000, NOW PE: 6.170000, 总市值: 5862913670.000000, PARENT_HOLDER_NETPROFIT: 950071000.000000, ROE_AVG: 57.761133, count: 46
====> NAME: 可口可乐装瓶, CODE: COKE, BUY PE: 100.000000, NOW PE: 17.910000, 总市值: 11338611404.000000, PARENT_HOLDER_NETPROFIT: 633125000.000000, ROE_AVG: 44.379854, count: 49
====> NAME: 美泰, CODE: MAT, BUY PE: 100.000000, NOW PE: 12.070000, 总市值: 6537960000.000000, PARENT_HOLDER_NETPROFIT: 541817000.000000, ROE_AVG: 24.553615, count: 53
====> NAME: 纳普科安全技术, CODE: NSSC, BUY PE: 24.000000, NOW PE: 18.010000, 总市值: 871450019.000000, PARENT_HOLDER_NETPROFIT: 49818000.000000, ROE_AVG: 31.228178, count: 54
====> NAME: Legacy Housing Corp, CODE: LEGH, BUY PE: 14.000000, NOW PE: 10.080000, 总市值: 621089778.000000, PARENT_HOLDER_NETPROFIT: 61642000.000000, ROE_AVG: 13.246502, count: 56
====> NAME: Axcelis Technologies Inc, CODE: ACLS, BUY PE: 46.000000, NOW PE: 8.940000, 总市值: 1797416370.000000, PARENT_HOLDER_NETPROFIT: 200992000.000000, ROE_AVG: 21.408638, count: 57
====> NAME: Euroseas Ltd, CODE: ESEA, BUY PE: 100.000000, NOW PE: 1.920000, 总市值: 216782238.000000, PARENT_HOLDER_NETPROFIT: 112775678.000000, ROE_AVG: 35.828814, count: 58
====> NAME: Eltek Ltd, CODE: ELTK, BUY PE: 28.000000, NOW PE: 13.560000, 总市值: 57270761.000000, PARENT_HOLDER_NETPROFIT: 4224000.000000, ROE_AVG: 12.411848, count: 59
====> NAME: 德康医疗, CODE: DXCM, BUY PE: 100.000000, NOW PE: 50.050000, 总市值: 28838974928.000000, PARENT_HOLDER_NETPROFIT: 576200000.000000, ROE_AVG: 27.627541, count: 60
====> NAME: Karat Packaging Inc, CODE: KRT, BUY PE: 100.000000, NOW PE: 19.080000, 总市值: 572042218.000000, PARENT_HOLDER_NETPROFIT: 29975000.000000, ROE_AVG: 19.358255, count: 61
====> NAME: 奥特泰尔, CODE: OTTR, BUY PE: 19.000000, NOW PE: 11.220000, 总市值: 3386055609.000000, PARENT_HOLDER_NETPROFIT: 301662000.000000, ROE_AVG: 19.390102, count: 62
====> NAME: 富途控股, CODE: FUTU, BUY PE: 34.000000, NOW PE: 20.920000, 总市值: 14669474818.000000, PARENT_HOLDER_NETPROFIT: 5443094000.000000, ROE_AVG: 20.704056, count: 65
====> NAME: Monolithic Power Systems Inc, CODE: MPWR, BUY PE: 100.000000, NOW PE: 15.830000, 总市值: 28287848680.000000, PARENT_HOLDER_NETPROFIT: 1786700000.000000, ROE_AVG: 68.776024, count: 67
====> NAME: Steel Dynamics Inc, CODE: STLD, BUY PE: 26.000000, NOW PE: 11.960000, 总市值: 18387838984.000000, PARENT_HOLDER_NETPROFIT: 1537134000.000000, ROE_AVG: 17.270244, count: 68
====> NAME: A-Mark Precious Metals Inc, CODE: AMRK, BUY PE: 100.000000, NOW PE: 12.700000, 总市值: 654205238.000000, PARENT_HOLDER_NETPROFIT: 68546000.000000, ROE_AVG: 11.360374, count: 69
